altitude,ch4_moleratio,ch4_pressure,ch4_qc,ch4_rssi,ch4_temp,computer_time,estimated_heading,frame,gps_fix,heading,heading_available,hpr_type,latitude,log_time,longitude,pitch,rmys_wdir_cf,rmys_wspd2D_cf,roll,spd_over_grnd,true_track,true_wdir,true_wspd,wdir_cf_corrected,wspd_cf_corrected,system_id
762.5,1.9738,93.3927,1,54.3452,18.2822,2018-07-04T11:25:24Z,119.03,46874,1,119.03,1,N,51.479873555,4404.446457,-113.068298085,1.96,142.7,5.81,3.6,6.83055555555556,120.14,347.334118637975,3.8724562860383,-32.9715049849215,5.06996854147642,pomelo_1
763,1.96653,93.3957,1,54.3115,18.4033,2018-07-04T11:25:25Z,118.88,46884,1,118.88,1,N,51.47984564,4405.399648,-113.068219661667,1.68,149.1,4.29,4,5.79722222222222,119.51,330.561395746558,2.81510615975087,-22.5845922123366,3.683762756688,pomelo_1
763.3,1.96723,93.3957,1,54.3005,18.4649,2018-07-04T11:25:26Z,117.99,46894,1,117.99,1,N,51.4798261266667,4406.375787,-113.068163161667,1.65,120.1,3.3,4.2,4.30555555555556,118.57,341.099007148338,3.50199753134379,-53.3420930550628,2.92894365070242,pomelo_1
763.6,1.96291,93.3933,1,54.2785,18.5216,2018-07-04T11:25:27Z,116.94,46904,1,116.94,1,N,51.4798120033333,4407.313388,-113.068119535,1.66,97.4,3.63,3.4,2.69444444444444,116.71,353.346082738693,3.58142865182458,-76.6087301994531,3.07775508669579,pomelo_1
763.7,1.97406,93.3915,1,54.3528,18.553,2018-07-04T11:25:28Z,115.32,46914,1,115.32,1,N,51.4798039033333,4408.250993,-113.06809193,1.67,78.6,3.6,3.3,2.36388888888889,114.48,342.786810131906,4.30764869255665,-99.6983040606374,3.25542566048611,pomelo_1
763.9,1.97804,93.3851,1,54.3689,18.5172,2018-07-04T11:25:29Z,109.82,46924,1,109.82,1,N,51.4797969083333,4409.18859,-113.068060661667,1.76,88.6,4.89,3.3,2.86111111111111,106.86,347.891274302487,4.83057160730437,-85.9252902415728,4.25824627787783,pomelo_1
764.1,1.97586,93.3927,1,54.4812,18.5029,2018-07-04T11:25:30Z,97.84,46934,1,97.84,1,N,51.4797916516667,4410.131714,-113.068011041667,0.99,109.6,5.74,8,4.06944444444444,89.11,340.923719395766,4.40732603518315,-65.9741010549994,4.97889315017043,pomelo_1
764.2,1.98131,93.3921,1,54.5758,18.4058,2018-07-04T11:25:31Z,79.83,46944,1,79.83,1,N,51.4797964866667,4411.069315,-113.067954626667,-0.35,131.5,8.12,8.7,4.73611111111111,72.9,357.005390416532,4.45387053962398,-43.5053785480779,7.24908293179195,pomelo_1
764.2,1.9741,93.361,1,54.7882,18.5323,2018-07-04T11:25:32Z,58.43,46954,1,58.43,1,N,51.4798168966667,4412.006916,-113.0678894,-2.23,141.6,10.12,9.7,5.55277777777778,54.67,348.751680983818,4.99537074336523,-34.7567556177094,8.85570822382902,pomelo_1
764.1,1.97905,93.344,1,54.6562,18.5106,2018-07-04T11:25:33Z,45.91,46964,1,45.91,1,N,51.4798495266667,4412.944516,-113.06782966,-3.1,150.2,11.28,6.4,6.7,43.94,352.017381431651,3.96046418144616,-20.7993415795486,9.65945221008853,pomelo_1
763.9,1.98333,93.3281,1,54.4953,18.5055,2018-07-04T11:25:34Z,37.88,46974,1,37.88,1,N,51.47989439,4413.888381,-113.067767773333,-4.02,156,12.49,3,7.88055555555556,39.18,346.797705437096,4.05025244780754,-15.9176025735464,10.8384891455022,pomelo_1
763.7,1.98553,93.3141,1,54.4292,18.4939,2018-07-04T11:25:35Z,37.75,46984,1,37.75,1,N,51.4799546283333,4414.82215,-113.067691521667,-4.79,152.3,15.74,2.6,8.86388888888889,39.21,348.326464299614,6.05993928285738,-18.8741396895851,13.5302763399227,pomelo_1
763.4,1.97345,93.3158,1,54.6392,18.5231,2018-07-04T11:25:36Z,42.8,46994,1,42.8,1,N,51.4800101533333,4415.75975,-113.067614616667,-4.9,159.6,14.2,-2.1,9.11944444444444,44.2,357.520041735787,4.2632320799947,-13.0409718660492,12.4372875057879,pomelo_1
763,1.98324,93.3276,1,54.6269,18.5016,2018-07-04T11:25:37Z,52.46,47004,1,52.46,1,N,51.4800639066667,4416.712976,-113.067514071667,-4.54,153.3,12.96,-3.9,9.26944444444444,54.62,342.014246344677,4.04815580135215,-18.0750756041692,11.1689516223257,pomelo_1
762.7,1.97229,93.3505,1,54.5838,18.6764,2018-07-04T11:25:38Z,62.66,47014,1,62.66,1,N,51.4801013433333,4417.650576,-113.067409603333,-4.6,159.7,11.63,-4.4,9.5,65.89,341.614971052161,2.85534335464356,-12.9610654575077,10.1889528557589,pomelo_1
762.3,1.98324,93.3546,1,54.7779,18.6092,2018-07-04T11:25:39Z,76.79,47024,1,76.79,1,N,51.480127815,4418.602132,-113.06727608,-3.48,155.5,12.07,-4.5,9.99722222222222,76.87,347.605846311861,2.95320318788497,-16.3171346162544,10.4606016057597,pomelo_1
762.1,1.9762,93.3557,1,54.629,18.688,2018-07-04T11:25:40Z,89.4,47034,1,89.4,1,N,51.48013374,4419.539732,-113.067143003333,-2.71,151.1,9.73,-3.4,10.5305555555556,91.25,319.168190298607,4.15105373002473,-19.8330165920842,8.33857652931177,pomelo_1
762,1.97949,93.3563,1,54.5995,18.5485,2018-07-04T11:25:40Z,101.59,47044,1,101.59,1,N,51.48012372,4420.477332,-113.067006745,-2.6,150.5,12.14,-6.9,10.4972222222222,101.81,359.89204488016,3.72378352422623,-20.3124550433337,10.388141183825,pomelo_1
761.9,1.98026,93.371,1,54.5911,18.4397,2018-07-04T11:25:41Z,109.88,47054,1,109.88,1,N,51.480095875,4421.414932,-113.06686028,-3.09,148.1,10.01,-6,10.7277777777778,111,342.434217452938,4.71454568007576,-24.207547333053,8.6169579242497,pomelo_1
761.7,1.98231,93.3792,1,54.5601,18.5111,2018-07-04T11:25:42Z,115.29,47064,1,115.29,1,N,51.48006,4422.354485,-113.066732306667,-3.45,150.2,8.83,-3.2,10.8972222222222,116.36,332.337032150396,4.79447673461231,-20.7993415795486,7.56143289140795,pomelo_1
761.5,1.98919,93.3892,1,54.638,18.3391,2018-07-04T11:25:43Z,117.17,47074,1,117.17,1,N,51.4800187916667,4423.292087,-113.066604063333,-3.57,147,10.5,0.9,11.25,117.23,349.2557165102,5.04990948741236,-25.992797965841,9.06371881452012,pomelo_1
761.2,1.98879,93.3927,1,54.5747,18.374,2018-07-04T11:25:44Z,118.01,47084,1,118.01,1,N,51.4799703083333,4424.229688,-113.06645921,-3.91,140.9,10.15,1.8,11.4722222222222,118.45,349.219119605307,6.80570645588255,-35.8928242022109,8.89780582340373,pomelo_1
760.9,1.98128,93.4033,1,54.6909,18.3414,2018-07-04T11:25:45Z,119.12,47094,1,119.12,1,N,51.479924955,4425.167322,-113.066328551667,-4.12,142.2,9.01,0.5,11.6861111111111,119.48,339.994776227292,6.80132871298743,-33.7829825452797,7.87236394880229,pomelo_1
760.5,1.98138,93.3968,1,54.4612,18.3487,2018-07-04T11:25:46Z,119.74,47104,1,119.74,1,N,51.479872295,4426.104888,-113.066182008333,-4.03,155.3,8.32,0.6,11.6833333333333,119.94,323.33914965341,5.20783285886813,-16.4769474333375,7.20692747392982,pomelo_1
760.2,1.9793,93.3951,1,54.4975,18.4112,2018-07-04T11:25:47Z,120.61,47114,1,120.61,1,N,51.47982342,4427.06326,-113.066050673333,-4.21,154.7,10.43,0.5,11.7638888888889,120.97,341.396142363269,4.14055802553694,-16.9563858845871,9.02078053147716,pomelo_1
759.9,1.98696,93.4062,1,54.4799,18.3907,2018-07-04T11:25:48Z,121.02,47124,1,121.02,1,N,51.4797682916667,4428.000859,-113.065906246667,-3.97,149.3,9.47,1.8,11.6944444444444,121.52,338.343256158075,5.24632642391735,-22.2600011881933,8.1276979959901,pomelo_1
759.5,1.97142,93.398,1,54.5072,18.5622,2018-07-04T11:25:49Z,121.61,47134,1,121.61,1,N,51.4797186733333,4428.938492,-113.06577552,-4.27,165.1,9.91,-0.2,11.9055555555556,122.08,326.470135821561,3.40897735036988,-8.61773167837754,8.91268836827693,pomelo_1
759.1,1.96869,93.388,1,54.4259,18.7125,2018-07-04T11:25:50Z,122.03,47144,1,122.03,1,N,51.4796673866667,4429.876062,-113.065645018333,-4.39,165,11.56,-0.8,11.975,122.57,346.716263788569,2.39513386556094,-8.69825521122101,10.3911179335469,pomelo_1
758.8,1.97275,93.3775,1,54.5229,18.6641,2018-07-04T11:25:51Z,121.82,47154,1,121.82,1,N,51.479609675,4430.81835,-113.065498418333,-4.03,164.8,12.2,-0.1,12.133333333333301,122.35,355.790360756165,2.22497257367025,-8.85930227690784,10.9547729979236,pomelo_1
758.4,1.97826,93.3839,1,54.4344,18.5376,2018-07-04T11:25:52Z,121.62,47164,1,121.62,1,N,51.4795576866667,4431.755951,-113.065365421667,-4.18,164.3,13.05,0.2,12.1555555555556,121.84,13.7689108896337,2.02517517013395,-9.26191994112492,11.6870251728163,pomelo_1
758.1,1.97886,93.3933,1,54.4542,18.5552,2018-07-04T11:25:53Z,122.03,47174,1,122.03,1,N,51.47950539,4432.69355,-113.06523236,-4.28,158.7,12.57,-1.1,12.0638888888889,122.35,4.53342778455746,3.0213008815513702,-13.7601295429236,10.9840206022616,pomelo_1
757.7,1.96737,93.3869,1,54.3791,18.6372,2018-07-04T11:25:54Z,122.47,47184,1,122.47,1,N,51.479446555,4433.631153,-113.06508699,-4.37,157,12.77,0.7,11.9833333333333,123.1,9.9323111145002,3.27992654564891,-15.1185384881305,11.1099776688772,pomelo_1
757.4,1.97494,93.4138,1,54.4275,18.6868,2018-07-04T11:25:55Z,122.73,47194,1,122.73,1,N,51.4793940916667,4434.568753,-113.064958581667,-3.67,154.1,11.69,1.7,11.8305555555556,123,357.207322691737,3.7850567206085,-17.4358243358365,10.0950465449525,pomelo_1
757.3,1.97955,93.4133,1,54.4892,18.5679,2018-07-04T11:25:56Z,122.97,47204,1,122.97,1,N,51.4793363333333,4435.512382,-113.064816228333,-2.92,153.4,11.28,-0.5,11.675,123.5,355.024792988202,3.94620488810028,-17.9951691956277,9.72360279571723,pomelo_1
757.3,1.98025,93.4092,1,54.4965,18.3887,2018-07-04T11:25:56Z,123.63,47214,1,123.63,1,N,51.479283935,4436.449981,-113.064690055,-2.29,156.2,10.84,-1.8,11.6638888888889,123.99,348.885149624055,3.70177048152176,-15.7577897564632,9.41149373692091,pomelo_1
757.4,1.97697,93.3986,1,54.4749,18.5158,2018-07-04T11:25:57Z,124.5,47224,1,124.5,1,N,51.4792309683333,4437.387581,-113.064566088333,-2.25,158.2,9.61,-1.7,11.55,124.96,336.604115645051,4.03476053735838,-14.1596615856315,8.38665250916687,pomelo_1
757.5,1.97445,93.4074,1,54.3682,18.6845,2018-07-04T11:25:58Z,124.67,47234,1,124.67,1,N,51.47917212,4438.325182,-113.064432165,-2,155.6,11.74,0.2,11.4777777777778,125.1,4.47266358910579,3.39216269898355,-16.2372282077127,10.1772118565082,pomelo_1
757.7,1.97184,93.4174,1,54.3986,18.6968,2018-07-04T11:25:59Z,124.74,47244,1,124.74,1,N,51.4791184366667,4439.259786,-113.064310446667,-1.74,144.4,10.97,1.7,11.6388888888889,125.14,359.847754770496,5.9466833414838,-30.2124812797036,9.53162083563527,pomelo_1
757.9,1.97838,93.3992,1,54.4316,18.6624,2018-07-04T11:26:00Z,124.92,47254,1,124.92,1,N,51.4790582116667,4440.197385,-113.064173311667,-1.35,163.1,10.89,1.2,11.6611111111111,125.21,344.884108154115,2.77104636896535,-10.228202335246,9.69110967151427,pomelo_1
758.2,1.97209,93.4056,1,54.333,18.639,2018-07-04T11:26:01Z,125.82,47264,1,125.82,1,N,51.47900407,4441.134985,-113.064053121667,-1.14,164.6,10.9,1.2,11.1805555555556,126.3,352.6848548568,2.22896067812909,-9.02034934259467,9.77709084958154,pomelo_1
758.6,1.97874,93.415,1,54.4874,18.6493,2018-07-04T11:26:02Z,126.85,47274,1,126.85,1,N,51.4789516083333,4442.072585,-113.063941083333,-0.76,154,10.54,1.1,10.5138888888889,127.52,4.17387498984636,3.39968460146663,-17.5157307443782,9.09962563735185,pomelo_1
758.9,1.97017,93.4156,1,54.3508,18.5938,2018-07-04T11:26:03Z,127.18,47284,1,127.18,1,N,51.47889633,4443.011542,-113.063825758333,-0.86,167.5,9.08,3.2,9.82777777777778,127.39,338.961924262193,1.89667493045072,-6.68516689013546,8.27166691645064,pomelo_1
